Notes,State,State Code,Year,Year Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,Maine,23,2013,2013,Drug-induced causes,D,183,1328302,13.8
Total,Maine,23,2013,2013,,,183,1328302,13.8
,Maine,23,2014,2014,Drug-induced causes,D,227,1330089,17.1
Total,Maine,23,2014,2014,,,227,1330089,17.1
,Maine,23,2015,2015,Drug-induced causes,D,278,1329328,20.9
Total,Maine,23,2015,2015,,,278,1329328,20.9
,Maine,23,2016,2016,Drug-induced causes,D,369,1331479,27.7
Total,Maine,23,2016,2016,,,369,1331479,27.7
,Maine,23,2017,2017,Drug-induced causes,D,443,1335907,33.2
Total,Maine,23,2017,2017,,,443,1335907,33.2
,Maine,23,2018,2018,Drug-induced causes,D,364,1338404,27.2
Total,Maine,23,2018,2018,,,364,1338404,27.2
,Maine,23,2019,2019,Drug-induced causes,D,391,1344212,29.1
Total,Maine,23,2019,2019,,,391,1344212,29.1
,Maine,23,2020,2020,Drug-induced causes,D,513,1350141,38
Total,Maine,23,2020,2020,,,513,1350141,38
Total,Maine,23,,,,,4714,29046732,16.2
,Maryland,24,1999,1999,Drug-induced causes,D,660,5254509,12.6
Total,Maryland,24,1999,1999,,,660,5254509,12.6
,Maryland,24,2000,2000,Drug-induced causes,D,657,5296486,12.4
Total,Maryland,24,2000,2000,,,657,5296486,12.4
,Maryland,24,2001,2001,Drug-induced causes,D,676,5374691,12.6
Total,Maryland,24,2001,2001,,,676,5374691,12.6
,Maryland,24,2002,2002,Drug-induced causes,D,759,5440389,14
Total,Maryland,24,2002,2002,,,759,5440389,14
,Maryland,24,2003,2003,Drug-induced causes,D,834,5496269,15.2
Total,Maryland,24,2003,2003,,,834,5496269,15.2
,Maryland,24,2004,2004,Drug-induced causes,D,721,5546935,13
Total,Maryland,24,2004,2004,,,721,5546935,13
,Maryland,24,2005,2005,Drug-induced causes,D,696,5592379,12.4
Total,Maryland,24,2005,2005,,,696,5592379,12.4
,Maryland,24,2006,2006,Drug-induced causes,D,805,5627367,14.3
Total,Maryland,24,2006,2006,,,805,5627367,14.3
,Maryland,24,2007,2007,Drug-induced causes,D,807,5653408,14.3
Total,Maryland,24,2007,2007,,,807,5653408,14.3
,Maryland,24,2008,2008,Drug-induced causes,D,731,5684965,12.9
Total,Maryland,24,2008,2008,,,731,5684965,12.9
,Maryland,24,2009,2009,Drug-induced causes,D,768,5730388,13.4
Total,Maryland,24,2009,2009,,,768,5730388,13.4
,Maryland,24,2010,2010,Drug-induced causes,D,674,5773552,11.7
Total,Maryland,24,2010,2010,,,674,5773552,11.7
,Maryland,24,2011,2011,Drug-induced causes,D,731,5828289,12.5
Total,Maryland,24,2011,2011,,,731,5828289,12.5
,Maryland,24,2012,2012,Drug-induced causes,D,860,5884563,14.6
Total,Maryland,24,2012,2012,,,860,5884563,14.6
,Maryland,24,2013,2013,Drug-induced causes,D,908,5928814,15.3
Total,Maryland,24,2013,2013,,,908,5928814,15.3
,Maryland,24,2014,2014,Drug-induced causes,D,1095,5976407,18.3
Total,Maryland,24,2014,2014,,,1095,5976407,18.3
,Maryland,24,2015,2015,Drug-induced causes,D,1320,6006401,22
Total,Maryland,24,2015,2015,,,1320,6006401,22
,Maryland,24,2016,2016,Drug-induced causes,D,2089,6016447,34.7
Total,Maryland,24,2016,2016,,,2089,6016447,34.7
,Maryland,24,2017,2017,Drug-induced causes,D,2296,6052177,37.9
Total,Maryland,24,2017,2017,,,2296,6052177,37.9
,Maryland,24,2018,2018,Drug-induced causes,D,2385,6042718,39.5
Total,Maryland,24,2018,2018,,,2385,6042718,39.5
,Maryland,24,2019,2019,Drug-induced causes,D,2421,6045680,40
Total,Maryland,24,2019,2019,,,2421,6045680,40
,Maryland,24,2020,2020,Drug-induced causes,D,2814,6055802,46.5
Total,Maryland,24,2020,2020,,,2814,6055802,46.5
Total,Maryland,24,,,,,25707,126308636,20.4
,Massachusetts,25,1999,1999,Drug-induced causes,D,512,6317345,8.1
Total,Massachusetts,25,1999,1999,,,512,6317345,8.1
,Massachusetts,25,2000,2000,Drug-induced causes,D,484,6349097,7.6
Total,Massachusetts,25,2000,2000,,,484,6349097,7.6
,Massachusetts,25,2001,2001,Drug-induced causes,D,714,6397634,11.2
Total,Massachusetts,25,2001,2001,,,714,6397634,11.2
,Massachusetts,25,2002,2002,Drug-induced causes,D,736,6417206,11.5
Total,Massachusetts,25,2002,2002,,,736,6417206,11.5
,Massachusetts,25,2003,2003,Drug-induced causes,D,876,6422565,13.6
Total,Massachusetts,25,2003,2003,,,876,6422565,13.6
,Massachusetts,25,2004,2004,Drug-induced causes,D,704,6412281,11
Total,Massachusetts,25,2004,2004,,,704,6412281,11
,Massachusetts,25,2005,2005,Drug-induced causes,D,867,6403290,13.5
Total,Massachusetts,25,2005,2005,,,867,6403290,13.5
,Massachusetts,25,2006,2006,Drug-induced causes,D,1021,6410084,15.9
Total,Massachusetts,25,2006,2006,,,1021,6410084,15.9
,Massachusetts,25,2007,2007,Drug-induced causes,D,1003,6431559,15.6
Total,Massachusetts,25,2007,2007,,,1003,6431559,15.6
,Massachusetts,25,2008,2008,Drug-induced causes,D,885,6468967,13.7
Total,Massachusetts,25,2008,2008,,,885,6468967,13.7
,Massachusetts,25,2009,2009,Drug-induced causes,D,916,6517613,14.1
Total,Massachusetts,25,2009,2009,,,916,6517613,14.1
,Massachusetts,25,2010,2010,Drug-induced causes,D,836,6547629,12.8
Total,Massachusetts,25,2010,2010,,,836,6547629,12.8
,Massachusetts,25,2011,2011,Drug-induced causes,D,1017,6587536,15.4
Total,Massachusetts,25,2011,2011,,,1017,6587536,15.4
,Massachusetts,25,2012,2012,Drug-induced causes,D,976,6646144,14.7
Total,Massachusetts,25,2012,2012,,,976,6646144,14.7
,Massachusetts,25,2013,2013,Drug-induced causes,D,1200,6692824,17.9
Total,Massachusetts,25,2013,2013,,,1200,6692824,17.9
,Massachusetts,25,2014,2014,Drug-induced causes,D,1402,6745408,20.8
Total,Massachusetts,25,2014,2014,,,1402,6745408,20.8
,Massachusetts,25,2015,2015,Drug-induced causes,D,1851,6794422,27.2
Total,Massachusetts,25,2015,2015,,,1851,6794422,27.2
,Massachusetts,25,2016,2016,Drug-induced causes,D,2379,6811779,34.9
Total,Massachusetts,25,2016,2016,,,2379,6811779,34.9
,Massachusetts,25,2017,2017,Drug-induced causes,D,2323,6859819,33.9
Total,Massachusetts,25,2017,2017,,,2323,6859819,33.9
,Massachusetts,25,2018,2018,Drug-induced causes,D,2391,6902149,34.6
Total,Massachusetts,25,2018,2018,,,2391,6902149,34.6
,Massachusetts,25,2019,2019,Drug-induced causes,D,2312,6892503,33.5
Total,Massachusetts,25,2019,2019,,,2312,6892503,33.5
,Massachusetts,25,2020,2020,Drug-induced causes,D,2449,6893574,35.5
Total,Massachusetts,25,2020,2020,,,2449,6893574,35.5
Total,Massachusetts,25,,,,,27854,144921428,19.2
,Michigan,26,1999,1999,Drug-induced causes,D,708,9897116,7.2
Total,Michigan,26,1999,1999,,,708,9897116,7.2
,Michigan,26,2000,2000,Drug-induced causes,D,871,9938444,8.8
Total,Michigan,26,2000,2000,,,871,9938444,8.8
,Michigan,26,2001,2001,Drug-induced causes,D,955,9991120,9.6
Total,Michigan,26,2001,2001,,,955,9991120,9.6
,Michigan,26,2002,2002,Drug-induced causes,D,1080,10015710,10.8
Total,Michigan,26,2002,2002,,,1080,10015710,10.8
,Michigan,26,2003,2003,Drug-induced causes,D,1062,10041152,10.6
Total,Michigan,26,2003,2003,,,1062,10041152,10.6
,Michigan,26,2004,2004,Drug-induced causes,D,1208,10055315,12
Total,Michigan,26,2004,2004,,,1208,10055315,12
,Michigan,26,2005,2005,Drug-induced causes,D,1398,10051137,13.9
Total,Michigan,26,2005,2005,,,1398,10051137,13.9
,Michigan,26,2006,2006,Drug-induced causes,D,1661,10036081,16.6
Total,Michigan,26,2006,2006,,,1661,10036081,16.6
,Michigan,26,2007,2007,Drug-induced causes,D,1542,10001284,15.4
Total,Michigan,26,2007,2007,,,1542,10001284,15.4
,Michigan,26,2008,2008,Drug-induced causes,D,1575,9946889,15.8
Total,Michigan,26,2008,2008,,,1575,9946889,15.8
,Michigan,26,2009,2009,Drug-induced causes,D,1750,9901591,17.7
Total,Michigan,26,2009,2009,,,1750,9901591,17.7
,Michigan,26,2010,2010,Drug-induced causes,D,1723,9883640,17.4
Total,Michigan,26,2010,2010,,,1723,9883640,17.4
,Michigan,26,2011,2011,Drug-induced causes,D,1702,9876187,17.2
Total,Michigan,26,2011,2011,,,1702,9876187,17.2
,Michigan,26,2012,2012,Drug-induced causes,D,1623,9883360,16.4
Total,Michigan,26,2012,2012,,,1623,9883360,16.4
,Michigan,26,2013,2013,Drug-induced causes,D,1812,9895622,18.3
Total,Michigan,26,2013,2013,,,1812,9895622,18.3
,Michigan,26,2014,2014,Drug-induced causes,D,2048,9909877,20.7
Total,Michigan,26,2014,2014,,,2048,9909877,20.7
,Michigan,26,2015,2015,Drug-induced causes,D,2316,9922576,23.3
Total,Michigan,26,2015,2015,,,2316,9922576,23.3
,Michigan,26,2016,2016,Drug-induced causes,D,2701,9928300,27.2
Total,Michigan,26,2016,2016,,,2701,9928300,27.2
,Michigan,26,2017,2017,Drug-induced causes,D,3034,9962311,30.5
Total,Michigan,26,2017,2017,,,3034,9962311,30.5
,Michigan,26,2018,2018,Drug-induced causes,D,2840,9995915,28.4
Total,Michigan,26,2018,2018,,,2840,9995915,28.4
,Michigan,26,2019,2019,Drug-induced causes,D,2565,9986857,25.7
Total,Michigan,26,2019,2019,,,2565,9986857,25.7
,Michigan,26,2020,2020,Drug-induced causes,D,2957,9966555,29.7
Total,Michigan,26,2020,2020,,,2957,9966555,29.7
Total,Michigan,26,,,,,39131,219087039,17.9
,Minnesota,27,1999,1999,Drug-induced causes,D,169,4873481,3.5
Total,Minnesota,27,1999,1999,,,169,4873481,3.5
,Minnesota,27,2000,2000,Drug-induced causes,D,161,4919479,3.3
Total,Minnesota,27,2000,2000,,,161,4919479,3.3
,Minnesota,27,2001,2001,Drug-induced causes,D,226,4982796,4.5
Total,Minnesota,27,2001,2001,,,226,4982796,4.5
,Minnesota,27,2002,2002,Drug-induced causes,D,241,5018935,4.8
Total,Minnesota,27,2002,2002,,,241,5018935,4.8
,Minnesota,27,2003,2003,Drug-induced causes,D,296,5053572,5.9
Total,Minnesota,27,2003,2003,,,296,5053572,5.9
,Minnesota,27,2004,2004,Drug-induced causes,D,302,5087713,5.9
Total,Minnesota,27,2004,2004,,,302,5087713,5.9
,Minnesota,27,2005,2005,Drug-induced causes,D,338,5119598,6.6
Total,Minnesota,27,2005,2005,,,338,5119598,6.6
,Minnesota,27,2006,2006,Drug-induced causes,D,378,5163555,7.3
Total,Minnesota,27,2006,2006,,,378,5163555,7.3
,Minnesota,27,2007,2007,Drug-induced causes,D,359,5207203,6.9
Total,Minnesota,27,2007,2007,,,359,5207203,6.9
,Minnesota,27,2008,2008,Drug-induced causes,D,398,5247018,7.6
Total,Minnesota,27,2008,2008,,,398,5247018,7.6
,Minnesota,27,2009,2009,Drug-induced causes,D,441,5281203,8.4
Total,Minnesota,27,2009,2009,,,441,5281203,8.4
,Minnesota,27,2010,2010,Drug-induced causes,D,427,5303925,8.1
Total,Minnesota,27,2010,2010,,,427,5303925,8.1
,Minnesota,27,2011,2011,Drug-induced causes,D,557,5344861,10.4
Total,Minnesota,27,2011,2011,,,557,5344861,10.4
,Minnesota,27,2012,2012,Drug-induced causes,D,539,5379139,10
Total,Minnesota,27,2012,2012,,,539,5379139,10
,Minnesota,27,2013,2013,Drug-induced causes,D,579,5420380,10.7
Total,Minnesota,27,2013,2013,,,579,5420380,10.7
,Minnesota,27,2014,2014,Drug-induced causes,D,586,5457173,10.7
Total,Minnesota,27,2014,2014,,,586,5457173,10.7
,Minnesota,27,2015,2015,Drug-induced causes,D,653,5489594,11.9
Total,Minnesota,27,2015,2015,,,653,5489594,11.9
,Minnesota,27,2016,2016,Drug-induced causes,D,750,5519952,13.6
Total,Minnesota,27,2016,2016,,,750,5519952,13.6
,Minnesota,27,2017,2017,Drug-induced causes,D,825,5576606,14.8
Total,Minnesota,27,2017,2017,,,825,5576606,14.8
,Minnesota,27,2018,2018,Drug-induced causes,D,736,5611179,13.1
Total,Minnesota,27,2018,2018,,,736,5611179,13.1
,Minnesota,27,2019,2019,Drug-induced causes,D,886,5639632,15.7
Total,Minnesota,27,2019,2019,,,886,5639632,15.7
,Minnesota,27,2020,2020,Drug-induced causes,D,1173,5657342,20.7
Total,Minnesota,27,2020,2020,,,1173,5657342,20.7
Total,Minnesota,27,,,,,11020,116354336,9.5
,Mississippi,28,1999,1999,Drug-induced causes,D,101,2828408,3.6
Total,Mississippi,28,1999,1999,,,101,2828408,3.6
,Mississippi,28,2000,2000,Drug-induced causes,D,123,2844658,4.3
Total,Mississippi,28,2000,2000,,,123,2844658,4.3
,Mississippi,28,2001,2001,Drug-induced causes,D,183,2852994,6.4
Total,Mississippi,28,2001,2001,,,183,2852994,6.4
,Mississippi,28,2002,2002,Drug-induced causes,D,202,2858681,7.1
Total,Mississippi,28,2002,2002,,,202,2858681,7.1
,Mississippi,28,2003,2003,Drug-induced causes,D,225,2868312,7.8
Total,Mississippi,28,2003,2003,,,225,2868312,7.8
,Mississippi,28,2004,2004,Drug-induced causes,D,245,2889010,8.5
Total,Mississippi,28,2004,2004,,,245,2889010,8.5
,Mississippi,28,2005,2005,Drug-induced causes,D,263,2905943,9.1
Total,Mississippi,28,2005,2005,,,263,2905943,9.1
,Mississippi,28,2006,2006,Drug-induced causes,D,368,2904978,12.7
Total,Mississippi,28,2006,2006,,,368,2904978,12.7
,Mississippi,28,2007,2007,Drug-induced causes,D,334,2928350,11.4
Total,Mississippi,28,2007,2007,,,334,2928350,11.4
,Mississippi,28,2008,2008,Drug-induced causes,D,321,2947806,10.9
Total,Mississippi,28,2008,2008,,,321,2947806,10.9
,Mississippi,28,2009,2009,Drug-induced causes,D,345,2958774,11.7
Total,Mississippi,28,2009,2009,,,345,2958774,11.7
,Mississippi,28,2010,2010,Drug-induced causes,D,353,2967297,11.9
Total,Mississippi,28,2010,2010,,,353,2967297,11.9
,Mississippi,28,2011,2011,Drug-induced causes,D,317,2978512,10.6
Total,Mississippi,28,2011,2011,,,317,2978512,10.6
,Mississippi,28,2012,2012,Drug-induced causes,D,328,2984926,11
Total,Mississippi,28,2012,2012,,,328,2984926,11
,Mississippi,28,2013,2013,Drug-induced causes,D,327,2991207,10.9
Total,Mississippi,28,2013,2013,,,327,2991207,10.9
,Mississippi,28,2014,2014,Drug-induced causes,D,361,2994079,12.1
Total,Mississippi,28,2014,2014,,,361,2994079,12.1
,Mississippi,28,2015,2015,Drug-induced causes,D,369,2992333,12.3
Total,Mississippi,28,2015,2015,,,369,2992333,12.3
,Mississippi,28,2016,2016,Drug-induced causes,D,374,2988726,12.5
Total,Mississippi,28,2016,2016,,,374,2988726,12.5
,Mississippi,28,2017,2017,Drug-induced causes,D,387,2984100,13
Total,Mississippi,28,2017,2017,,,387,2984100,13
,Mississippi,28,2018,2018,Drug-induced causes,D,334,2986530,11.2
Total,Mississippi,28,2018,2018,,,334,2986530,11.2
,Mississippi,28,2019,2019,Drug-induced causes,D,431,2976149,14.5
Total,Mississippi,28,2019,2019,,,431,2976149,14.5
,Mississippi,28,2020,2020,Drug-induced causes,D,611,2966786,20.6
Total,Mississippi,28,2020,2020,,,611,2966786,20.6
Total,Mississippi,28,,,,,6902,64598559,10.7
,Missouri,29,1999,1999,Drug-induced causes,D,294,5561948,5.3
Total,Missouri,29,1999,1999,,,294,5561948,5.3
,Missouri,29,2000,2000,Drug-induced causes,D,327,5595211,5.8
Total,Missouri,29,2000,2000,,,327,5595211,5.8
,Missouri,29,2001,2001,Drug-induced causes,D,381,5641142,6.8
Total,Missouri,29,2001,2001,,,381,5641142,6.8
,Missouri,29,2002,2002,Drug-induced causes,D,443,5674825,7.8
Total,Missouri,29,2002,2002,,,443,5674825,7.8
,Missouri,29,2003,2003,Drug-induced causes,D,550,5709403,9.6
Total,Missouri,29,2003,2003,,,550,5709403,9.6
,Missouri,29,2004,2004,Drug-induced causes,D,574,5747741,10
Total,Missouri,29,2004,2004,,,574,5747741,10
,Missouri,29,2005,2005,Drug-induced causes,D,640,5790300,11.1
Total,Missouri,29,2005,2005,,,640,5790300,11.1
,Missouri,29,2006,2006,Drug-induced causes,D,765,5842704,13.1
Total,Missouri,29,2006,2006,,,765,5842704,13.1
,Missouri,29,2007,2007,Drug-induced causes,D,730,5887612,12.4
Total,Missouri,29,2007,2007,,,730,5887612,12.4
,Missouri,29,2008,2008,Drug-induced causes,D,779,5923916,13.2
Total,Missouri,29,2008,2008,,,779,5923916,13.2
,Missouri,29,2009,2009,Drug-induced causes,D,881,5961088,14.8
Total,Missouri,29,2009,2009,,,881,5961088,14.8
,Missouri,29,2010,2010,Drug-induced causes,D,1024,5988927,17.1
Total,Missouri,29,2010,2010,,,1024,5988927,17.1
,Missouri,29,2011,2011,Drug-induced causes,D,990,6010688,16.5
Total,Missouri,29,2011,2011,,,990,6010688,16.5
,Missouri,29,2012,2012,Drug-induced causes,D,961,6021988,16
Total,Missouri,29,2012,2012,,,961,6021988,16
,Missouri,29,2013,2013,Drug-induced causes,D,1041,6044171,17.2
Total,Missouri,29,2013,2013,,,1041,6044171,17.2
,Missouri,29,2014,2014,Drug-induced causes,D,1107,6063589,18.3
Total,Missouri,29,2014,2014,,,1107,6063589,18.3
,Missouri,29,2015,2015,Drug-induced causes,D,1098,6083672,18
Total,Missouri,29,2015,2015,,,1098,6083672,18
,Missouri,29,2016,2016,Drug-induced causes,D,1418,6093000,23.3
Total,Missouri,29,2016,2016,,,1418,6093000,23.3
,Missouri,29,2017,2017,Drug-induced causes,D,1426,6113532,23.3
Total,Missouri,29,2017,2017,,,1426,6113532,23.3
,Missouri,29,2018,2018,Drug-induced causes,D,1660,6126452,27.1
Total,Missouri,29,2018,2018,,,1660,6126452,27.1
,Missouri,29,2019,2019,Drug-induced causes,D,1649,6137428,26.9
Total,Missouri,29,2019,2019,,,1649,6137428,26.9
,Missouri,29,2020,2020,Drug-induced causes,D,1951,6151548,31.7
Total,Missouri,29,2020,2020,,,1951,6151548,31.7
Total,Missouri,29,,,,,20689,130170885,15.9
,Montana,30,1999,1999,Drug-induced causes,D,48,897507,5.3
Total,Montana,30,1999,1999,,,48,897507,5.3
,Montana,30,2000,2000,Drug-induced causes,D,47,902195,5.2
Total,Montana,30,2000,2000,,,47,902195,5.2
,Montana,30,2001,2001,Drug-induced causes,D,62,906961,6.8
Total,Montana,30,2001,2001,,,62,906961,6.8
,Montana,30,2002,2002,Drug-induced causes,D,85,911667,9.3
Total,Montana,30,2002,2002,,,85,911667,9.3
,Montana,30,2003,2003,Drug-induced causes,D,116,919630,12.6
Total,Montana,30,2003,2003,,,116,919630,12.6
,Montana,30,2004,2004,Drug-induced causes,D,119,930009,12.8
Total,Montana,30,2004,2004,,,119,930009,12.8
,Montana,30,2005,2005,Drug-induced causes,D,119,940102,12.7
Total,Montana,30,2005,2005,,,119,940102,12.7
,Montana,30,2006,2006,Drug-induced causes,D,121,952692,12.7
Total,Montana,30,2006,2006,,,121,952692,12.7
,Montana,30,2007,2007,Drug-induced causes,D,132,964706,13.7
Total,Montana,30,2007,2007,,,132,964706,13.7
,Montana,30,2008,2008,Drug-induced causes,D,141,976415,14.4
Total,Montana,30,2008,2008,,,141,976415,14.4
,Montana,30,2009,2009,Drug-induced causes,D,147,983982,14.9
Total,Montana,30,2009,2009,,,147,983982,14.9
,Montana,30,2010,2010,Drug-induced causes,D,123,989415,12.4
Total,Montana,30,2010,2010,,,123,989415,12.4
,Montana,30,2011,2011,Drug-induced causes,D,150,998199,15
Total,Montana,30,2011,2011,,,150,998199,15
,Montana,30,2012,2012,Drug-induced causes,D,129,1005141,12.8
Total,Montana,30,2012,2012,,,129,1005141,12.8
,Montana,30,2013,2013,Drug-induced causes,D,156,1015165,15.4
Total,Montana,30,2013,2013,,,156,1015165,15.4
,Montana,30,2014,2014,Drug-induced causes,D,145,1023579,14.2
Total,Montana,30,2014,2014,,,145,1023579,14.2
,Montana,30,2015,2015,Drug-induced causes,D,152,1032949,14.7
Total,Montana,30,2015,2015,,,152,1032949,14.7
,Montana,30,2016,2016,Drug-induced causes,D,136,1042520,13
Total,Montana,30,2016,2016,,,136,1042520,13
,Montana,30,2017,2017,Drug-induced causes,D,132,1050493,12.6
Total,Montana,30,2017,2017,,,132,1050493,12.6
,Montana,30,2018,2018,Drug-induced causes,D,138,1062305,13
Total,Montana,30,2018,2018,,,138,1062305,13
,Montana,30,2019,2019,Drug-induced causes,D,153,1068778,14.3
Total,Montana,30,2019,2019,,,153,1068778,14.3
,Montana,30,2020,2020,Drug-induced causes,D,172,1080577,15.9
Total,Montana,30,2020,2020,,,172,1080577,15.9
Total,Montana,30,,,,,2723,21654987,12.6
,Nebraska,31,1999,1999,Drug-induced causes,D,41,1704764,2.4
Total,Nebraska,31,1999,1999,,,41,1704764,2.4
,Nebraska,31,2000,2000,Drug-induced causes,D,52,1711263,3
Total,Nebraska,31,2000,2000,,,52,1711263,3
,Nebraska,31,2001,2001,Drug-induced causes,D,69,1719836,4
Total,Nebraska,31,2001,2001,,,69,1719836,4
,Nebraska,31,2002,2002,Drug-induced causes,D,69,1728292,4
Total,Nebraska,31,2002,2002,,,69,1728292,4
,Nebraska,31,2003,2003,Drug-induced causes,D,88,1738643,5.1
Total,Nebraska,31,2003,2003,,,88,1738643,5.1
,Nebraska,31,2004,2004,Drug-induced causes,D,91,1749370,5.2
Total,Nebraska,31,2004,2004,,,91,1749370,5.2
,Nebraska,31,2005,2005,Drug-induced causes,D,129,1761497,7.3
Total,Nebraska,31,2005,2005,,,129,1761497,7.3
,Nebraska,31,2006,2006,Drug-induced causes,D,131,1772693,7.4
Total,Nebraska,31,2006,2006,,,131,1772693,7.4
,Nebraska,31,2007,2007,Drug-induced causes,D,92,1783440,5.2
Total,Nebraska,31,2007,2007,,,92,1783440,5.2
,Nebraska,31,2008,2008,Drug-induced causes,D,113,1796378,6.3
Total,Nebraska,31,2008,2008,,,113,1796378,6.3
,Nebraska,31,2009,2009,Drug-induced causes,D,118,1812683,6.5
Total,Nebraska,31,2009,2009,,,118,1812683,6.5
,Nebraska,31,2010,2010,Drug-induced causes,D,130,1826341,7.1
Total,Nebraska,31,2010,2010,,,130,1826341,7.1
,Nebraska,31,2011,2011,Drug-induced causes,D,148,1842641,8
Total,Nebraska,31,2011,2011,,,148,1842641,8
,Nebraska,31,2012,2012,Drug-induced causes,D,154,1855525,8.3
Total,Nebraska,31,2012,2012,,,154,1855525,8.3
,Nebraska,31,2013,2013,Drug-induced causes,D,137,1868516,7.3
Total,Nebraska,31,2013,2013,,,137,1868516,7.3
,Nebraska,31,2014,2014,Drug-induced causes,D,140,1881503,7.4
Total,Nebraska,31,2014,2014,,,140,1881503,7.4
,Nebraska,31,2015,2015,Drug-induced causes,D,139,1896190,7.3
Total,Nebraska,31,2015,2015,,,139,1896190,7.3
,Nebraska,31,2016,2016,Drug-induced causes,D,146,1907116,7.7
Total,Nebraska,31,2016,2016,,,146,1907116,7.7
,Nebraska,31,2017,2017,Drug-induced causes,D,163,1920076,8.5
Total,Nebraska,31,2017,2017,,,163,1920076,8.5
,Nebraska,31,2018,2018,Drug-induced causes,D,171,1929268,8.9
Total,Nebraska,31,2018,2018,,,171,1929268,8.9
,Nebraska,31,2019,2019,Drug-induced causes,D,180,1934408,9.3
Total,Nebraska,31,2019,2019,,,180,1934408,9.3
,Nebraska,31,2020,2020,Drug-induced causes,D,237,1937552,12.2
Total,Nebraska,31,2020,2020,,,237,1937552,12.2
Total,Nebraska,31,,,,,2738,40077995,6.8
,Nevada,32,1999,1999,Drug-induced causes,D,236,1934718,12.2
Total,Nevada,32,1999,1999,,,236,1934718,12.2
,Nevada,32,2000,2000,Drug-induced causes,D,281,1998257,14.1
Total,Nevada,32,2000,2000,,,281,1998257,14.1
,Nevada,32,2001,2001,Drug-induced causes,D,268,2098399,12.8
Total,Nevada,32,2001,2001,,,268,2098399,12.8
,Nevada,32,2002,2002,Drug-induced causes,D,332,2173791,15.3
Total,Nevada,32,2002,2002,,,332,2173791,15.3
,Nevada,32,2003,2003,Drug-induced causes,D,350,2248850,15.6
Total,Nevada,32,2003,2003,,,350,2248850,15.6
,Nevada,32,2004,2004,Drug-induced causes,D,395,2346222,16.8
Total,Nevada,32,2004,2004,,,395,2346222,16.8
,Nevada,32,2005,2005,Drug-induced causes,D,464,2432143,19.1
Total,Nevada,32,2005,2005,,,464,2432143,19.1
,Nevada,32,2006,2006,Drug-induced causes,D,471,2522658,18.7
Total,Nevada,32,2006,2006,,,471,2522658,18.7
,Nevada,32,2007,2007,Drug-induced causes,D,515,2601072,19.8
Total,Nevada,32,2007,2007,,,515,2601072,19.8
,Nevada,32,2008,2008,Drug-induced causes,D,529,2653630,19.9
Total,Nevada,32,2008,2008,,,529,2653630,19.9
,Nevada,32,2009,2009,Drug-induced causes,D,555,2684665,20.7
Total,Nevada,32,2009,2009,,,555,2684665,20.7
,Nevada,32,2010,2010,Drug-induced causes,D,581,2700551,21.5
Total,Nevada,32,2010,2010,,,581,2700551,21.5
,Nevada,32,2011,2011,Drug-induced causes,D,642,2723322,23.6
Total,Nevada,32,2011,2011,,,642,2723322,23.6
,Nevada,32,2012,2012,Drug-induced causes,D,611,2758931,22.1
Total,Nevada,32,2012,2012,,,611,2758931,22.1
,Nevada,32,2013,2013,Drug-induced causes,D,622,2790136,22.3
Total,Nevada,32,2013,2013,,,622,2790136,22.3
,Nevada,32,2014,2014,Drug-induced causes,D,555,2839099,19.5
Total,Nevada,32,2014,2014,,,555,2839099,19.5
,Nevada,32,2015,2015,Drug-induced causes,D,629,2890845,21.8
Total,Nevada,32,2015,2015,,,629,2890845,21.8
,Nevada,32,2016,2016,Drug-induced causes,D,678,2940058,23.1
Total,Nevada,32,2016,2016,,,678,2940058,23.1
,Nevada,32,2017,2017,Drug-induced causes,D,698,2998039,23.3
Total,Nevada,32,2017,2017,,,698,2998039,23.3
,Nevada,32,2018,2018,Drug-induced causes,D,712,3034392,23.5
Total,Nevada,32,2018,2018,,,712,3034392,23.5
,Nevada,32,2019,2019,Drug-induced causes,D,690,3080156,22.4
Total,Nevada,32,2019,2019,,,690,3080156,22.4
,Nevada,32,2020,2020,Drug-induced causes,D,866,3138259,27.6
Total,Nevada,32,2020,2020,,,866,3138259,27.6
Total,Nevada,32,,,,,11680,57588193,20.3
,New Hampshire,33,1999,1999,Drug-induced causes,D,62,1222014,5.1
Total,New Hampshire,33,1999,1999,,,62,1222014,5.1
,New Hampshire,33,2000,2000,Drug-induced causes,D,49,1235786,4
Total,New Hampshire,33,2000,2000,,,49,1235786,4
,New Hampshire,33,2001,2001,Drug-induced causes,D,83,1255517,6.6
Total,New Hampshire,33,2001,2001,,,83,1255517,6.6
,New Hampshire,33,2002,2002,Drug-induced causes,D,114,1269089,9
Total,New Hampshire,33,2002,2002,,,114,1269089,9
,New Hampshire,33,2003,2003,Drug-induced causes,D,137,1279840,10.7
Total,New Hampshire,33,2003,2003,,,137,1279840,10.7
,New Hampshire,33,2004,2004,Drug-induced causes,D,128,1290121,9.9
Total,New Hampshire,33,2004,2004,,,128,1290121,9.9
,New Hampshire,33,2005,2005,Drug-induced causes,D,152,1298492,11.7
Total,New Hampshire,33,2005,2005,,,152,1298492,11.7
,New Hampshire,33,2006,2006,Drug-induced causes,D,160,1308389,12.2
Total,New Hampshire,33,2006,2006,,,160,1308389,12.2
